date,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyRelativeHumidity,HourlyViibility,HourlyWindSpeed
2017-01-04 04:50:00,29.88,-13,-9,84.0,6.21,2.0
2017-01-04 05:50:00,29.88,-15,-11,84.0,6.21,1.0
2017-01-04 06:50:00,29.94,-18,-15,83.0,43.5,1.0
2017-01-04 07:50:00,29.94,-22,-17,76.0,43.5,2.0
2017-01-04 08:50:00,30.00,-22,-18,83.0,43.5,0.0
2017-01-04 09:50:00,30.00,-22,-18,83.0,43.5,2.0
2017-01-04 10:50:00,30.03,-24,-20,83.0,43.5,1.0
2017-01-04 11:50:00,30.06,-24,-18,75.0,43.5,2.0
2017-01-04 12:50:00,30.09,-24,-18,75.0,43.5,0.0
2017-01-04 13:50:00,30.12,-22,-17,76.0,43.5,3.0
2017-01-04 14:50:00,30.15,-24,-20,83.0,43.5,2.0
2017-01-04 15:50:00,30.15,-26,-20,75.0,43.5,2.0
2017-01-04 16:50:00,30.18,-27,-22,75.0,43.5,2.0
2017-01-04 17:50:00,30.21,-29,-24,75.0,43.5,1.0
2017-01-04 18:50:00,30.21,-29,-24,75.0,43.5,0.0
2017-01-04 19:50:00,30.24,-29,-26,82.0,43.5,0.0
2017-01-04 20:50:00,30.27,-31,-26,75.0,43.5,0.0
2017-01-04 21:50:00,30.27,-29,-24,75.0,43.5,0.0
2017-01-04 22:50:00,30.30,-33,-27,74.0,43.5,0.0
2017-01-04 23:50:00,30.30,-27,-24,82.0,6.21,0.0
2017-01-05 00:50:00,30.33,-31,-26,75.0,6.21,1.0
2017-01-05 01:50:00,30.33,-31,-26,75.0,6.21,0.0
2017-01-05 02:50:00,30.33,-31,-26,75.0,6.21,2.0
2017-01-05 03:50:00,30.33,-33,-27,74.0,6.21,0.0
2017-01-05 04:50:00,30.33,-33,-27,74.0,6.21,0.0
2017-01-05 05:50:00,30.33,-33,-27,74.0,6.21,1.0
2017-01-05 06:50:00,30.33,-31,-26,75.0,43.5,0.0
2017-01-05 07:50:00,30.33,-29,-24,75.0,43.5,1.0
2017-01-05 08:50:00,30.33,-27,-22,75.0,43.5,0.0
2017-01-05 09:50:00,30.33,-29,-22,68.0,6.21,0.0
2017-01-05 10:50:00,30.30,-27,-22,75.0,43.5,2.0
2017-01-05 11:50:00,30.30,-26,-20,75.0,6.21,2.0
2017-01-05 12:50:00,30.27,-22,-18,83.0,43.5,2.0
2017-01-05 13:50:00,30.24,-18,-15,83.0,43.5,0.0
2017-01-05 14:50:00,30.24,-15,-11,84.0,43.5,2.0
2017-01-05 15:50:00,30.21,-9,-6,84.0,43.5,2.0
2017-01-05 16:50:00,30.18,-6,-2,84.0,6.21,0.0
2017-01-05 17:50:00,30.15,-4,0,84.0,43.5,2.0
2017-01-05 18:50:00,30.15,0,3,85.0,6.21,2.0
2017-01-05 19:50:00,30.12,1,5,85.0,6.21,0.0
2017-01-05 20:50:00,30.09,5,9,85.0,6.21,0.0
2017-01-05 21:50:00,30.09,5,10,79.0,6.21,0.0
2017-01-05 22:50:00,30.06,7,12,79.0,6.21,2.0
2017-01-05 23:50:00,30.03,9,14,79.0,6.21,0.0
2017-01-06 00:50:00,30.00,12,16,86.0,6.21,2.0
2017-01-06 01:50:00,29.97,12,18,79.0,6.21,0.0
2017-01-06 02:50:00,29.94,16,21,80.0,6.21,0.0
2017-01-06 03:50:00,29.91,18,21,86.0,4.97,0.0
2017-01-06 04:50:00,29.88,19,23,86.0,3.11,2.0
2017-01-06 05:50:00,29.83,23,27,86.0,5.59,6.0
2017-01-06 06:50:00,29.77,19,25,80.0,6.21,13.0
2017-01-06 07:50:00,29.74,23,30,75.0,6.21,9.0
2017-01-06 08:50:00,29.71,23,34,65.0,6.21,6.0
2017-01-06 09:50:00,29.68,27,37,65.0,6.21,7.0
2017-01-06 10:50:00,29.65,25,37,60.0,6.21,10.0
2017-01-06 11:50:00,29.62,25,39,56.0,6.21,11.0
2017-01-06 12:50:00,29.56,27,39,61.0,6.21,11.0
2017-01-06 13:50:00,29.50,27,39,61.0,6.21,9.0
2017-01-06 14:50:00,29.47,27,39,61.0,6.21,3.0
2017-01-06 15:50:00,29.41,27,39,61.0,6.21,6.0
2017-01-06 16:50:00,29.35,28,41,61.0,6.21,8.0
2017-01-06 17:50:00,29.29,28,43,57.0,6.21,11.0
2017-01-06 18:50:00,29.23,28,43,57.0,6.21,11.0
2017-01-06 19:50:00,29.18,28,43,57.0,6.21,6.0
2017-01-06 20:50:00,29.15,27,43,53.0,6.21,11.0
2017-01-06 21:50:00,29.15,28,41,61.0,6.21,11.0
2017-01-06 22:50:00,29.15,30,39,70.0,6.21,14.0
2017-01-06 23:50:00,29.18,32,36,87.0,6.21,8.0
2017-01-07 00:50:00,29.15,30,34,87.0,6.21,11.0
2017-01-07 01:50:00,29.15,30,32,93.0,0.99,15.0
2017-01-07 02:50:00,29.12,28,34,81.0,6.21,14.0
2017-01-07 03:50:00,29.12,28,34,81.0,6.21,7.0
2017-01-07 04:50:00,29.12,30,32,93.0,3.11,9.0
2017-01-07 05:50:00,29.18,32,32,100.0,6.21,13.0
2017-01-07 06:50:00,29.21,28,34,81.0,3.11,16.0
2017-01-07 07:50:00,29.26,32,34,93.0,6.21,11.0
2017-01-07 08:50:00,29.32,32,32,100.0,1.86,11.0
2017-01-07 09:50:00,29.38,30,34,87.0,6.21,6.0
2017-01-07 10:50:00,29.41,28,34,81.0,6.21,7.0
2017-01-07 11:50:00,29.47,27,30,86.0,6.21,3.0
2017-01-07 12:50:00,29.50,25,36,65.0,6.21,8.0
2017-01-07 13:50:00,29.56,30,36,81.0,6.21,15.0
2017-01-07 14:50:00,29.59,32,32,100.0,3.11,21.0
2017-01-07 15:50:00,29.62,28,36,75.0,6.21,15.0
2017-01-07 16:50:00,29.68,27,34,75.0,6.21,18.0
2017-01-07 17:50:00,29.71,30,32,93.0,2.86,17.0
2017-01-07 18:50:00,29.74,30,32,93.0,0.93,3.0
2017-01-07 19:50:00,29.74,28,32,87.0,6.21,6.0
2017-01-07 20:50:00,29.74,30,32,93.0,6.21,7.0
2017-01-07 21:50:00,29.77,30,32,93.0,6.21,5.0
2017-01-07 22:50:00,29.74,28,32,87.0,6.21,8.0
2017-01-07 23:50:00,29.74,28,32,87.0,6.21,5.0
2017-01-08 00:50:00,29.68,28,30,93.0,6.21,2.0
2017-01-08 01:50:00,29.65,30,34,87.0,6.21,9.0
2017-01-08 02:50:00,29.62,30,34,87.0,6.21,6.0
2017-01-08 03:50:00,29.59,32,34,93.0,6.21,8.0
2017-01-08 04:50:00,29.53,28,32,87.0,6.21,11.0
2017-01-08 05:50:00,29.47,30,34,87.0,6.21,6.0
2017-01-08 06:50:00,29.41,30,37,75.0,6.21,6.0
2017-01-08 07:50:00,29.35,30,39,70.0,6.21,6.0
2017-01-08 08:50:00,29.29,30,39,70.0,6.21,5.0
2017-01-08 09:50:00,29.23,30,43,61.0,6.21,7.0
2017-01-08 10:50:00,29.18,30,43,61.0,6.21,9.0
2017-01-08 11:50:00,29.12,32,39,75.0,6.21,5.0
2017-01-08 12:50:00,29.09,32,41,70.0,6.21,7.0
2017-01-08 13:50:00,29.09,34,41,76.0,6.21,9.0
2017-01-08 14:50:00,29.06,34,39,81.0,6.21,9.0
2017-01-08 15:50:00,29.09,34,37,87.0,6.21,14.0
2017-01-08 16:50:00,29.23,32,34,93.0,0.75,26.0
2017-01-08 17:50:00,29.29,32,34,93.0,2.49,11.0
2017-01-08 18:50:00,29.29,30,32,93.0,6.21,5.0
2017-01-08 19:50:00,29.32,30,34,87.0,0.62,21.0
2017-01-08 20:50:00,29.32,30,30,100.0,6.21,15.0
2017-01-08 21:50:00,29.32,28,30,93.0,2.49,11.0
2017-01-08 22:50:00,29.32,28,30,93.0,1.86,11.0
2017-01-08 23:50:00,29.32,27,32,80.0,6.21,11.0
2017-01-09 00:50:00,29.29,28,32,87.0,0.37,17.0
2017-01-09 01:50:00,29.29,28,34,81.0,3.11,15.0
2017-01-09 02:50:00,29.29,25,34,70.0,6.21,14.0
2017-01-09 03:50:00,29.29,23,34,65.0,6.21,14.0
2017-01-09 04:50:00,29.29,25,34,70.0,1.43,18.0
2017-01-09 05:50:00,29.29,28,32,87.0,1.86,14.0
2017-01-09 06:50:00,29.29,23,34,65.0,5.59,20.0
2017-01-09 07:50:00,29.29,28,32,87.0,1.55,21.0
2017-01-09 08:50:00,29.32,28,32,87.0,0.62,15.0
2017-01-09 09:50:00,29.35,28,32,87.0,6.21,6.0
2017-01-09 10:50:00,29.41,30,32,93.0,0.5,11.0
2017-01-09 11:50:00,29.44,30,32,93.0,1.86,9.0
2017-01-09 12:50:00,29.44,28,30,93.0,6.21,5.0
2017-01-09 13:50:00,29.44,30,30,100.0,6.21,3.0
2017-01-09 14:50:00,29.47,30,30,100.0,0.75,5.0
2017-01-09 15:50:00,29.47,30,30,100.0,5.59,2.0
2017-01-09 16:50:00,29.50,28,30,93.0,6.21,5.0
2017-01-09 17:50:00,29.50,28,28,100.0,0.93,7.0
2017-01-09 18:50:00,29.50,25,25,100.0,6.21,2.0
2017-01-09 19:50:00,29.50,27,27,100.0,3.11,5.0
2017-01-09 20:50:00,29.50,18,19,93.0,6.21,5.0
2017-01-09 21:50:00,29.50,19,19,100.0,6.21,0.0
2017-01-09 22:50:00,29.50,16,18,93.0,6.21,3.0
2017-01-09 23:50:00,29.50,14,16,93.0,6.21,5.0
2017-01-10 00:50:00,29.53,14,16,93.0,6.21,1.0
2017-01-10 01:50:00,29.50,9,10,92.0,6.21,0.0
2017-01-10 02:50:00,29.50,5,7,92.0,6.21,2.0
2017-01-10 03:50:00,29.50,5,7,92.0,6.21,0.0
2017-01-10 04:50:00,29.50,0,3,85.0,6.21,1.0
2017-01-10 05:50:00,29.50,-2,1,85.0,6.21,2.0
2017-01-10 06:50:00,29.50,-2,1,85.0,6.21,1.0
2017-01-10 07:50:00,29.50,0,1,92.0,6.21,1.0
2017-01-10 08:50:00,29.50,-4,0,84.0,6.21,1.0
2017-01-10 09:50:00,29.47,0,3,85.0,6.21,0.0
2017-01-10 10:50:00,29.44,5,9,85.0,6.21,0.0
2017-01-10 11:50:00,29.41,9,12,85.0,6.21,1.0
2017-01-10 12:50:00,29.38,12,14,92.0,6.21,0.0
2017-01-10 13:50:00,29.38,14,16,93.0,4.35,0.0
2017-01-10 14:50:00,29.35,16,18,93.0,3.73,2.0
2017-01-10 15:50:00,29.32,21,21,100.0,2.8,0.0
2017-01-10 16:50:00,29.29,21,21,100.0,1.55,0.0
2017-01-10 17:50:00,29.26,21,21,100.0,5.59,0.0
2017-01-10 18:50:00,29.23,21,23,93.0,3.73,0.0
2017-01-10 19:50:00,29.21,21,23,93.0,1.86,1.0
2017-01-10 20:50:00,29.18,21,23,93.0,4.35,0.0
2017-01-10 21:50:00,29.15,23,23,100.0,6.21,0.0
2017-01-10 22:50:00,29.12,23,23,100.0,6.21,0.0
2017-01-10 23:50:00,29.09,23,23,100.0,6.21,0.0
2017-01-11 00:50:00,29.06,19,21,93.0,6.21,0.0
2017-01-11 01:50:00,29.03,19,21,93.0,6.21,0.0
2017-01-11 02:50:00,29.00,19,19,100.0,6.21,2.0
2017-01-11 03:50:00,28.94,16,18,93.0,6.21,2.0
2017-01-11 04:50:00,28.91,10,12,92.0,6.21,1.0
2017-01-11 05:50:00,28.88,14,14,100.0,6.21,2.0
2017-01-11 06:50:00,28.85,12,14,92.0,6.21,0.0
2017-01-11 07:50:00,28.85,14,16,93.0,6.21,0.0
2017-01-11 08:50:00,28.85,14,16,93.0,6.21,0.0
2017-01-11 09:50:00,28.85,16,18,93.0,6.21,2.0
2017-01-11 10:50:00,28.85,18,19,93.0,6.21,0.0
2017-01-11 11:50:00,28.85,16,18,93.0,6.21,0.0
2017-01-11 12:50:00,28.85,14,16,93.0,6.21,0.0
2017-01-11 13:50:00,28.85,12,14,92.0,6.21,0.0
2017-01-11 14:50:00,28.85,12,14,92.0,6.21,1.0
2017-01-11 15:50:00,28.85,9,10,92.0,6.21,2.0
2017-01-11 16:50:00,28.85,5,9,85.0,6.21,0.0
2017-01-11 17:50:00,28.85,3,5,92.0,6.21,0.0
2017-01-11 18:50:00,28.85,1,5,85.0,43.5,0.0
2017-01-11 19:50:00,28.85,5,7,92.0,43.5,2.0
2017-01-11 20:50:00,28.85,3,7,85.0,43.5,1.0
2017-01-11 21:50:00,28.82,3,5,92.0,43.5,1.0
2017-01-11 22:50:00,28.82,1,5,85.0,43.5,1.0
2017-01-11 23:50:00,28.82,0,3,85.0,6.21,0.0
2017-01-12 00:50:00,28.82,0,3,85.0,6.21,0.0
2017-01-12 01:50:00,28.79,0,3,85.0,6.21,0.0
2017-01-12 02:50:00,28.79,3,5,92.0,6.21,0.0
2017-01-12 03:50:00,28.79,7,10,85.0,6.21,0.0
2017-01-12 04:50:00,28.76,10,12,92.0,6.21,1.0
2017-01-12 05:50:00,28.76,14,16,93.0,6.21,0.0
2017-01-12 06:50:00,28.76,12,14,92.0,6.21,2.0
2017-01-12 07:50:00,28.79,14,16,93.0,6.21,2.0
2017-01-12 08:50:00,28.79,19,21,93.0,6.21,5.0
2017-01-12 09:50:00,28.82,19,21,93.0,6.21,2.0
2017-01-12 10:50:00,28.82,25,32,75.0,6.21,10.0
2017-01-12 11:50:00,28.82,23,30,75.0,6.21,8.0
2017-01-12 12:50:00,28.82,21,30,69.0,6.21,5.0
2017-01-12 13:50:00,28.85,21,28,74.0,6.21,8.0
2017-01-12 14:50:00,28.85,21,28,74.0,6.21,3.0
2017-01-12 15:50:00,28.85,21,28,74.0,6.21,5.0
2017-01-12 16:50:00,28.85,19,27,74.0,6.21,6.0
2017-01-12 17:50:00,28.88,18,27,69.0,6.21,10.0
2017-01-12 18:50:00,28.88,18,25,74.0,6.21,2.0
2017-01-12 19:50:00,28.88,18,25,74.0,6.21,2.0
2017-01-12 20:50:00,28.88,18,27,69.0,6.21,6.0
2017-01-12 21:50:00,28.91,16,25,69.0,6.21,10.0
2017-01-12 22:50:00,28.91,16,25,69.0,6.21,8.0
2017-01-12 23:50:00,28.91,16,25,69.0,6.21,7.0
2017-01-13 00:50:00,28.94,14,21,74.0,6.21,1.0
2017-01-13 01:50:00,28.94,14,18,86.0,6.21,2.0
2017-01-13 02:50:00,28.94,12,14,92.0,6.21,0.0
2017-01-13 03:50:00,28.94,10,12,92.0,6.21,2.0
2017-01-13 04:50:00,28.94,7,9,92.0,6.21,0.0
2017-01-13 05:50:00,28.94,5,7,92.0,6.21,0.0
2017-01-13 06:50:00,28.97,3,5,92.0,6.21,1.0
2017-01-13 07:50:00,28.97,1,3,92.0,6.21,2.0
2017-01-13 08:50:00,28.97,0,1,92.0,6.21,0.0
2017-01-13 09:50:00,28.97,0,1,92.0,6.21,2.0
2017-01-13 10:50:00,29.00,1,3,92.0,6.21,3.0
2017-01-13 11:50:00,29.00,0,1,92.0,6.21,0.0
2017-01-13 12:50:00,29.00,1,3,92.0,6.21,2.0
2017-01-13 13:50:00,29.00,-2,0,92.0,6.21,0.0
2017-01-13 14:50:00,29.00,0,3,85.0,6.21,0.0
2017-01-13 15:50:00,29.00,1,5,85.0,6.21,0.0
2017-01-13 16:50:00,29.00,3,5,92.0,6.21,1.0
2017-01-13 17:50:00,29.00,7,9,92.0,6.21,2.0
2017-01-13 18:50:00,29.00,9,12,85.0,6.21,0.0
2017-01-13 19:50:00,29.03,12,14,92.0,6.21,0.0
2017-01-13 20:50:00,29.03,16,18,93.0,6.21,3.0
2017-01-13 21:50:00,29.03,14,18,86.0,6.21,5.0
2017-01-13 22:50:00,29.03,16,19,86.0,6.21,7.0
2017-01-13 23:50:00,29.06,16,19,86.0,6.21,2.0
2017-01-14 00:50:00,29.06,19,23,86.0,6.21,5.0
2017-01-14 01:50:00,29.09,19,23,86.0,6.21,7.0
2017-01-14 02:50:00,29.09,19,21,93.0,6.21,3.0
2017-01-14 03:50:00,29.12,16,18,93.0,6.21,3.0
2017-01-14 04:50:00,29.12,14,14,100.0,6.21,1.0
2017-01-14 05:50:00,29.15,16,16,100.0,6.21,2.0
2017-01-14 06:50:00,29.18,16,18,93.0,6.21,1.0
2017-01-14 07:50:00,29.18,18,19,93.0,6.21,2.0
2017-01-14 08:50:00,29.21,14,16,93.0,6.21,0.0
2017-01-14 09:50:00,29.21,14,16,93.0,6.21,2.0
2017-01-14 10:50:00,29.23,12,12,100.0,6.21,1.0
2017-01-14 11:50:00,29.23,10,12,92.0,6.21,2.0
2017-01-14 12:50:00,29.26,7,9,92.0,6.21,2.0
2017-01-14 13:50:00,29.29,5,7,92.0,6.21,1.0
2017-01-14 14:50:00,29.29,5,7,92.0,6.21,2.0
2017-01-14 15:50:00,29.32,7,9,92.0,6.21,0.0
2017-01-14 16:50:00,29.32,12,14,92.0,6.21,1.0
2017-01-14 17:50:00,29.35,10,12,92.0,6.21,2.0
2017-01-14 18:50:00,29.35,10,12,92.0,6.21,2.0
2017-01-14 19:50:00,29.35,12,14,92.0,6.21,1.0
2017-01-14 20:50:00,29.38,10,12,92.0,6.21,0.0
2017-01-14 21:50:00,29.38,9,10,92.0,6.21,0.0
2017-01-14 22:50:00,29.38,3,7,85.0,6.21,0.0
2017-01-14 23:50:00,29.41,0,3,85.0,6.21,0.0
2017-01-15 00:50:00,29.41,-2,1,85.0,6.21,0.0
2017-01-15 01:50:00,29.41,-2,0,92.0,6.21,0.0
2017-01-15 02:50:00,29.41,-8,-4,84.0,6.21,2.0
2017-01-15 03:50:00,29.41,-8,-4,84.0,6.21,0.0
2017-01-15 04:50:00,29.44,-6,-4,92.0,6.21,1.0
2017-01-15 05:50:00,29.44,-9,-8,92.0,6.21,1.0
2017-01-15 06:50:00,29.47,-13,-8,77.0,6.21,1.0
2017-01-15 07:50:00,29.50,-13,-9,84.0,6.21,0.0
2017-01-15 08:50:00,29.56,-13,-8,77.0,6.21,0.0
2017-01-15 09:50:00,29.59,-11,-8,84.0,6.21,1.0
2017-01-15 10:50:00,29.62,-11,-8,84.0,6.21,1.0
2017-01-15 11:50:00,29.68,-9,-6,84.0,6.21,1.0
2017-01-15 12:50:00,29.71,-8,-4,84.0,6.21,1.0
2017-01-15 13:50:00,29.74,-9,-6,84.0,6.21,2.0
2017-01-15 14:50:00,29.80,-8,-4,84.0,6.21,1.0
2017-01-15 15:50:00,29.83,-6,-4,92.0,6.21,2.0
2017-01-15 16:50:00,29.85,-4,0,84.0,6.21,0.0
2017-01-15 17:50:00,29.88,1,3,92.0,6.21,0.0
2017-01-15 18:50:00,29.91,5,9,85.0,6.21,1.0
2017-01-15 19:50:00,29.94,5,9,85.0,6.21,0.0
2017-01-15 20:50:00,29.97,5,9,85.0,6.21,0.0
2017-01-15 21:50:00,30.00,5,9,85.0,6.21,0.0
2017-01-15 22:50:00,30.00,9,10,92.0,6.21,0.0
2017-01-15 23:50:00,30.06,10,12,92.0,6.21,2.0
2017-01-16 00:50:00,30.06,10,12,92.0,6.21,1.0
2017-01-16 01:50:00,30.06,5,9,85.0,6.21,2.0
2017-01-16 02:50:00,30.06,9,10,92.0,6.21,0.0
2017-01-16 03:50:00,30.09,5,7,92.0,6.21,2.0
2017-01-16 04:50:00,30.09,7,9,92.0,6.21,0.0
2017-01-16 05:50:00,30.09,9,10,92.0,6.21,2.0
2017-01-16 06:50:00,30.09,3,7,85.0,6.21,3.0
2017-01-16 07:50:00,30.09,7,9,92.0,6.21,3.0
2017-01-16 08:50:00,30.09,3,7,85.0,6.21,1.0
2017-01-16 09:50:00,30.09,0,3,85.0,6.21,0.0
2017-01-16 10:50:00,30.09,0,1,92.0,43.5,0.0
2017-01-16 11:50:00,30.06,0,3,85.0,43.5,2.0
2017-01-16 12:50:00,30.03,0,1,92.0,43.5,1.0
2017-01-16 13:50:00,30.03,0,3,85.0,6.21,1.0
2017-01-16 14:50:00,30.00,5,9,85.0,6.21,1.0
2017-01-16 15:50:00,29.97,10,12,92.0,6.21,0.0
2017-01-16 16:50:00,29.94,10,14,85.0,6.21,2.0
2017-01-16 17:50:00,29.91,16,18,93.0,6.21,2.0
2017-01-16 18:50:00,29.88,21,23,93.0,6.21,0.0
2017-01-16 19:50:00,29.85,19,25,80.0,6.21,3.0
2017-01-16 20:50:00,29.85,28,30,93.0,6.21,6.0
2017-01-16 21:50:00,29.83,30,32,93.0,6.21,10.0
2017-01-16 23:50:00,29.80,30,36,81.0,6.21,11.0
2017-01-17 00:50:00,29.77,30,37,75.0,6.21,14.0
2017-01-17 01:50:00,29.77,30,39,70.0,6.21,11.0
2017-01-17 02:50:00,29.77,30,39,70.0,6.21,14.0
2017-01-17 03:50:00,29.77,30,39,70.0,6.21,14.0
2017-01-17 04:50:00,29.77,32,39,75.0,6.21,11.0
2017-01-17 05:50:00,29.77,34,36,93.0,6.21,10.0
2017-01-17 06:50:00,29.77,34,36,93.0,6.21,9.0
2017-01-17 07:50:00,29.77,32,37,81.0,6.21,6.0
2017-01-17 08:50:00,29.74,32,37,81.0,6.21,10.0
2017-01-17 09:50:00,29.74,30,36,81.0,6.21,6.0
2017-01-17 10:50:00,29.71,27,36,70.0,6.21,3.0
2017-01-17 11:50:00,29.68,28,37,70.0,6.21,9.0
2017-01-17 12:50:00,29.68,28,37,70.0,6.21,7.0
2017-01-17 13:50:00,29.65,32,36,87.0,2.49,9.0
2017-01-17 14:50:00,29.65,32,32,100.0,0.81,15.0
2017-01-17 15:50:00,29.68,28,34,81.0,6.21,9.0
2017-01-17 16:50:00,29.68,28,36,75.0,6.21,14.0
2017-01-17 18:50:00,29.74,27,34,75.0,6.21,10.0
2017-01-17 19:50:00,29.74,23,36,60.0,6.21,13.0
2017-01-17 20:50:00,29.77,30,30,100.0,6.21,3.0
2017-01-17 21:50:00,29.77,28,32,87.0,5.59,9.0
2017-01-17 22:50:00,29.80,28,32,87.0,0.75,14.0
2017-01-17 23:50:00,29.77,27,34,75.0,6.21,13.0
2017-01-18 00:50:00,29.80,28,34,81.0,6.21,13.0
2017-01-18 01:50:00,29.80,30,32,93.0,0.37,10.0
2017-01-18 02:50:00,29.83,28,34,81.0,6.21,15.0
2017-01-18 03:50:00,29.83,27,34,75.0,6.21,11.0
2017-01-18 04:50:00,29.80,28,32,87.0,6.21,6.0
2017-01-18 05:50:00,29.80,28,32,87.0,3.11,1.0
2017-01-18 06:50:00,29.77,28,32,87.0,6.21,8.0
2017-01-18 07:50:00,29.74,28,30,93.0,6.21,2.0
